Date,LOB,ACR,CHT Forecast,Actual CHT,Staffing Forecast,Staffing,Staffing Deficit,Volume Drivers,System Issue,System issue Ticket number,Issue Description,Issue Start Time,Issue End Time,Tools Impacted,LOB Impacted
01-01-2025,SBS,4.4,390,417,130,120,-10,,,,,,,,
01-01-2025,SBS DGT,5.4,391,418,50,35,-15,,,,,,,,
01-01-2025,LMS,6.4,392,419,70,61,-9,,,,,,,,
01-01-2025,LMS DGT,7.4,393,420,15,13,-2,,,,,,,,
01-01-2025,Retention,8.4,394,421,30,23,-7,,,,,,,,
01-01-2025,CFST,9.4,395,422,15,11,-4,,,,,,,,
01-01-2025,PCET,10.4,396,423,15,13,-2,,,,,,,,
02-01-2025,SBS,8.4,390,421,133,120,-13,,,,,,,,
02-01-2025,SBS DGT,9.4,391,422,51,35,-16,,,,,,,,
02-01-2025,LMS,10.4,392,423,68,61,-7,,,,,,,,
02-01-2025,LMS DGT,4.4,393,417,15,13,-2,,,,,,,,
02-01-2025,Retention,5.4,394,418,30,23,-7,,,,,,,,
02-01-2025,CFST,6.4,395,419,15,11,-4,,,,,,,,
02-01-2025,PCET,7.4,396,420,15,13,-2,,,,,,,,
